113	-0.106600 0.046400 -0.060400 -0.043192 0.011424 -0.999001 -0.182389 -0.983231 -0.003430 -0.984840 0.169325 0.031359 -0.004352
112	-0.106600 0.046400 -0.060400 -0.182389 -0.983231 -0.003430 0.043192 -0.011424 0.999001 -0.984840 0.169325 0.031359 -0.006618
111	-0.106600 0.046400 -0.060400 -0.043192 0.011424 -0.999001 -0.182389 -0.983231 -0.003430 -0.984840 0.169325 0.031359 0.984540
122	-0.102000 0.063100 -0.025600 -0.010224 0.007743 -0.999913 -0.255077 -0.966909 -0.004888 -0.972299 0.233111 0.009366 -0.005025
123	-0.102000 0.063100 -0.025600 -0.255077 -0.966909 -0.004888 0.010224 -0.007743 0.999913 -0.972299 0.233111 0.009366 -0.005359
121	-0.102000 0.063100 -0.025600 -0.010224 0.007743 -0.999913 -0.255077 -0.966909 -0.004888 -0.972299 0.233111 0.009366 0.983612
132	-0.108500 0.030200 -0.026600 -0.002632 0.002766 -0.999954 -0.082295 -0.996605 -0.002503 -0.996982 0.077389 0.001764 -0.002973
133	-0.108500 0.030200 -0.026600 -0.082295 -0.996605 -0.002503 0.002632 -0.002766 0.999954 -0.996982 0.077389 0.001764 -0.001138
131	-0.108500 0.030200 -0.026600 -0.002632 0.002766 -0.999954 -0.082295 -0.996605 -0.002503 -0.996982 0.077389 0.001764 0.981358
143	-0.109900 0.013100 -0.062700 -0.059434 0.002927 -0.998228 -0.026704 -0.999691 -0.001402 -0.998256 0.029965 0.049292 -0.004646
142	-0.109900 0.013100 -0.062700 -0.026704 -0.999691 -0.001402 0.059434 -0.002927 0.998228 -0.998256 0.029965 0.049292 -0.005391
141	-0.109900 0.013100 -0.062700 -0.059434 0.002927 -0.998228 -0.026704 -0.999691 -0.001402 -0.998256 0.029965 0.049292 0.975691
213	-0.107400 0.032900 0.008000 -0.059342 0.008523 -0.998202 -0.099808 -0.994930 -0.002595 -0.993178 0.100994 0.058127 -0.004095
212	-0.107400 0.032900 0.008000 -0.099808 -0.994930 -0.002595 0.059342 -0.008523 0.998202 -0.993178 0.100994 0.058127 -0.005530
211	-0.107400 0.032900 0.008000 -0.059342 0.008523 -0.998202 -0.099808 -0.994930 -0.002595 -0.993178 0.100994 0.058127 0.989925
222	-0.098900 0.040300 0.041300 -0.338138 0.058981 -0.939307 -0.160635 -0.987005 -0.004136 -0.926574 0.146749 0.346017 -0.004471
223	-0.098900 0.040300 0.041300 -0.160635 -0.987005 -0.004136 0.338138 -0.058981 0.939307 -0.926574 0.146749 0.346017 -0.006394
221	-0.098900 0.040300 0.041300 -0.338138 0.058981 -0.939307 -0.160635 -0.987005 -0.004136 -0.926574 0.146749 0.346017 0.987366
232	-0.101100 0.004400 0.040800 -0.348952 0.008858 -0.937086 0.044088 -0.998693 -0.025851 -0.934243 -0.053688 0.352476 -0.003960
233	-0.101100 0.004400 0.040800 0.044088 -0.998693 -0.025851 0.348952 -0.008858 0.937086 -0.934243 -0.053688 0.352476 -0.007060
231	-0.101100 0.004400 0.040800 -0.348952 0.008858 -0.937086 0.044088 -0.998693 -0.025851 -0.934243 -0.053688 0.352476 0.984924
243	-0.108300 -0.001100 0.007100 -0.071884 -0.010797 -0.997354 0.084394 -0.996437 0.004743 -0.993682 -0.084893 0.073306 -0.004253
242	-0.108300 -0.001100 0.007100 0.084394 -0.996437 0.004743 0.071884 0.010797 0.997354 -0.993682 -0.084893 0.073306 -0.006644
241	-0.108300 -0.001100 0.007100 -0.071884 -0.010797 -0.997354 0.084394 -0.996437 0.004743 -0.993682 -0.084893 0.073306 0.992636
313	-0.086100 0.098800 0.009000 -0.044708 0.123353 -0.991355 -0.480491 -0.872648 -0.086926 -0.885297 0.454780 0.094660 -0.004007
312	-0.086100 0.098800 0.009000 -0.480491 -0.872648 -0.086926 0.044708 -0.123353 0.991355 -0.885297 0.454780 0.094660 -0.008652
311	-0.086100 0.098800 0.009000 -0.044708 0.123353 -0.991355 -0.480491 -0.872648 -0.086926 -0.885297 0.454780 0.094660 0.993433
322	-0.088700 0.075700 0.041200 -0.343042 0.115401 -0.932217 -0.370229 -0.928697 0.021275 -0.863649 0.349542 0.362850 -0.004477
323	-0.088700 0.075700 0.041200 -0.370229 -0.928697 0.021275 0.343042 -0.115401 0.932217 -0.863649 0.349542 0.362850 -0.008346
321	-0.088700 0.075700 0.041200 -0.343042 0.115401 -0.932217 -0.370229 -0.928697 0.021275 -0.863649 0.349542 0.362850 0.988930
333	-0.070200 0.075800 0.070700 -0.590237 0.227030 -0.774647 -0.390472 -0.920245 0.027763 -0.703450 0.324758 0.632168 -0.005026
332	-0.070200 0.075800 0.070700 -0.390472 -0.920245 0.027763 0.590237 -0.227030 0.774647 -0.703450 0.324758 0.632168 -0.008987
331	-0.070200 0.075800 0.070700 -0.590237 0.227030 -0.774647 -0.390472 -0.920245 0.027763 -0.703450 0.324758 0.632168 0.994112
343	-0.100300 0.065900 0.008100 -0.073512 0.027010 -0.996929 -0.286115 -0.958183 -0.004870 -0.958547 0.274546 0.074996 -0.004966
342	-0.100300 0.065900 0.008100 -0.286115 -0.958183 -0.004870 0.073512 -0.027010 0.996929 -0.958547 0.274546 0.074996 -0.008889
341	-0.100300 0.065900 0.008100 -0.073512 0.027010 -0.996929 -0.286115 -0.958183 -0.004870 -0.958547 0.274546 0.074996 0.989753
413	-0.080800 0.041300 0.072000 -0.637854 0.048226 -0.768646 -0.137287 -0.989253 0.051840 -0.755376 0.140659 0.639987 -0.005150
412	-0.080800 0.041300 0.072000 -0.137287 -0.989253 0.051840 0.637854 -0.048226 0.768646 -0.755376 0.140659 0.639987 -0.009925
411	-0.080800 0.041300 0.072000 -0.637854 0.048226 -0.768646 -0.137287 -0.989253 0.051840 -0.755376 0.140659 0.639987 0.992709
422	-0.052600 0.040600 0.095200 -0.876054 -0.019363 -0.481831 -0.055183 -0.988609 0.140028 -0.479507 0.153032 0.863987 -0.006559
423	-0.052600 0.040600 0.095200 -0.055183 -0.988609 0.140028 0.876054 0.019363 0.481831 -0.479507 0.153032 0.863987 -0.010015
421	-0.052600 0.040600 0.095200 -0.876054 -0.019363 -0.481831 -0.055183 -0.988609 0.140028 -0.479507 0.153032 0.863987 0.998585
432	-0.053700 0.005900 0.096900 -0.869342 -0.017749 -0.493716 0.027906 -0.999521 -0.013368 -0.490923 -0.025434 0.870826 -0.007673
433	-0.053700 0.005900 0.096900 0.027906 -0.999521 -0.013368 0.869342 0.017749 0.493716 -0.490923 -0.025434 0.870826 -0.011297
