113	-0.106600 0.046400 -0.060400 -0.043192 0.011424 -0.999001 -0.182389 -0.983231 -0.003430 -0.982250 0.182052 0.044548 -0.003035
112	-0.106600 0.046400 -0.060400 -0.182389 -0.983231 -0.003430 0.043192 -0.011424 0.999001 -0.982250 0.182052 0.044548 -0.004724
111	-0.106600 0.046400 -0.060400 -0.043192 0.011424 -0.999001 -0.182389 -0.983231 -0.003430 -0.982250 0.182052 0.044548 1.000000
122	-0.102000 0.063100 -0.025600 -0.010224 0.007743 -0.999913 -0.255077 -0.966909 -0.004888 -0.966850 0.255001 0.011860 -0.003381
123	-0.102000 0.063100 -0.025600 -0.255077 -0.966909 -0.004888 0.010224 -0.007743 0.999913 -0.966850 0.255001 0.011860 -0.006559
121	-0.102000 0.063100 -0.025600 -0.010224 0.007743 -0.999913 -0.255077 -0.966909 -0.004888 -0.966850 0.255001 0.011860 1.000000
132	-0.108500 0.030200 -0.026600 -0.002632 0.002766 -0.999954 -0.082295 -0.996605 -0.002503 -0.996594 0.082287 0.002851 -0.000910
133	-0.108500 0.030200 -0.026600 -0.082295 -0.996605 -0.002503 0.002632 -0.002766 0.999954 -0.996594 0.082287 0.002851 -0.006310
131	-0.108500 0.030200 -0.026600 -0.002632 0.002766 -0.999954 -0.082295 -0.996605 -0.002503 -0.996594 0.082287 0.002851 1.000000
143	-0.109900 0.013100 -0.062700 -0.059434 0.002927 -0.998228 -0.026704 -0.999691 -0.001402 -0.997866 0.026572 0.059490 -0.003285
142	-0.109900 0.013100 -0.062700 -0.026704 -0.999691 -0.001402 0.059434 -0.002927 0.998228 -0.997866 0.026572 0.059490 -0.004777
141	-0.109900 0.013100 -0.062700 -0.059434 0.002927 -0.998228 -0.026704 -0.999691 -0.001402 -0.997866 0.026572 0.059490 1.000000
213	-0.107400 0.032900 0.008000 -0.059342 0.008523 -0.998202 -0.099808 -0.994930 -0.002595 -0.993230 0.099482 0.059892 -0.003366
212	-0.107400 0.032900 0.008000 -0.099808 -0.994930 -0.002595 0.059342 -0.008523 0.998202 -0.993230 0.099482 0.059892 -0.003767
211	-0.107400 0.032900 0.008000 -0.059342 0.008523 -0.998202 -0.099808 -0.994930 -0.002595 -0.993230 0.099482 0.059892 1.000000
222	-0.098900 0.040300 0.041300 -0.338138 0.058981 -0.939307 -0.160635 -0.987005 -0.004136 -0.927287 0.149478 0.343202 -0.005013
223	-0.098900 0.040300 0.041300 -0.160635 -0.987005 -0.004136 0.338138 -0.058981 0.939307 -0.927287 0.149478 0.343202 -0.004530
221	-0.098900 0.040300 0.041300 -0.338138 0.058981 -0.939307 -0.160635 -0.987005 -0.004136 -0.927287 0.149478 0.343202 1.000000
232	-0.101100 0.004400 0.040800 -0.348952 0.008858 -0.937086 0.044088 -0.998693 -0.025851 -0.936097 -0.050341 0.348105 -0.003031
233	-0.101100 0.004400 0.040800 0.044088 -0.998693 -0.025851 0.348952 -0.008858 0.937086 -0.936097 -0.050341 0.348105 -0.004212
231	-0.101100 0.004400 0.040800 -0.348952 0.008858 -0.937086 0.044088 -0.998693 -0.025851 -0.936097 -0.050341 0.348105 1.000000
243	-0.108300 -0.001100 0.007100 -0.071884 -0.010797 -0.997354 0.084394 -0.996437 0.004743 -0.993831 -0.083828 0.072536 -0.004094
242	-0.108300 -0.001100 0.007100 0.084394 -0.996437 0.004743 0.071884 0.010797 0.997354 -0.993831 -0.083828 0.072536 -0.004451
241	-0.108300 -0.001100 0.007100 -0.071884 -0.010797 -0.997354 0.084394 -0.996437 0.004743 -0.993831 -0.083828 0.072536 1.000000
313	-0.086100 0.098800 0.009000 -0.044708 0.123353 -0.991355 -0.480491 -0.872648 -0.086926 -0.875840 0.472459 0.098283 -0.007458
312	-0.086100 0.098800 0.009000 -0.480491 -0.872648 -0.086926 0.044708 -0.123353 0.991355 -0.875840 0.472459 0.098283 -0.005993
311	-0.086100 0.098800 0.009000 -0.044708 0.123353 -0.991355 -0.480491 -0.872648 -0.086926 -0.875840 0.472459 0.098283 1.000000
322	-0.088700 0.075700 0.041200 -0.343042 0.115401 -0.932217 -0.370229 -0.928697 0.021275 -0.863274 0.352424 0.361300 -0.008201
323	-0.088700 0.075700 0.041200 -0.370229 -0.928697 0.021275 0.343042 -0.115401 0.932217 -0.863274 0.352424 0.361300 -0.005576
321	-0.088700 0.075700 0.041200 -0.343042 0.115401 -0.932217 -0.370229 -0.928697 0.021275 -0.863274 0.352424 0.361300 1.000000
333	-0.070200 0.075800 0.070700 -0.590237 0.227030 -0.774647 -0.390472 -0.920245 0.027763 -0.706523 0.318848 0.631776 -0.007501
332	-0.070200 0.075800 0.070700 -0.390472 -0.920245 0.027763 0.590237 -0.227030 0.774647 -0.706523 0.318848 0.631776 -0.005450
331	-0.070200 0.075800 0.070700 -0.590237 0.227030 -0.774647 -0.390472 -0.920245 0.027763 -0.706523 0.318848 0.631776 1.000000
343	-0.100300 0.065900 0.008100 -0.073512 0.027010 -0.996929 -0.286115 -0.958183 -0.004870 -0.955364 0.284876 0.078167 -0.006936
342	-0.100300 0.065900 0.008100 -0.286115 -0.958183 -0.004870 0.073512 -0.027010 0.996929 -0.955364 0.284876 0.078167 -0.005037
341	-0.100300 0.065900 0.008100 -0.073512 0.027010 -0.996929 -0.286115 -0.958183 -0.004870 -0.955364 0.284876 0.078167 1.000000
413	-0.080800 0.041300 0.072000 -0.637854 0.048226 -0.768646 -0.137287 -0.989253 0.051840 -0.757820 0.138579 0.637565 -0.005248
412	-0.080800 0.041300 0.072000 -0.137287 -0.989253 0.051840 0.637854 -0.048226 0.768646 -0.757820 0.138579 0.637565 -0.005216
411	-0.080800 0.041300 0.072000 -0.637854 0.048226 -0.768646 -0.137287 -0.989253 0.051840 -0.757820 0.138579 0.637565 1.000000
422	-0.052600 0.040600 0.095200 -0.876054 -0.019363 -0.481831 -0.055183 -0.988609 0.140028 -0.479051 0.149258 0.864992 0.000420
423	-0.052600 0.040600 0.095200 -0.055183 -0.988609 0.140028 0.876054 0.019363 0.481831 -0.479051 0.149258 0.864992 -0.005200
421	-0.052600 0.040600 0.095200 -0.876054 -0.019363 -0.481831 -0.055183 -0.988609 0.140028 -0.479051 0.149258 0.864992 1.000000
432	-0.053700 0.005900 0.096900 -0.869342 -0.017749 -0.493716 0.027906 -0.999521 -0.013368 -0.493279 -0.025404 0.869489 -0.009516
433	-0.053700 0.005900 0.096900 0.027906 -0.999521 -0.013368 0.869342 0.017749 0.493716 -0.493279 -0.025404 0.869489 -0.003394
431	-0.053700 0.005900 0.096900 -0.869342 -0.017749 -0.493716 0.027906 -0.999521 -0.013368 -0.493279 -0.025404 0.869489 1.000000
443	-0.082900 0.006200 0.072800 -0.640022 0.002663 -0.768352 0.043966 -0.998266 -0.040044 -0.767095 -0.059409 0.638767 -0.007415
442	-0.082900 0.006200 0.072800 0.043966 -0.998266 -0.040044 0.640022 -0.002663 0.768352 -0.767095 -0.059409 0.638767 -0.005729
441	-0.082900 0.006200 0.072800 -0.640022 0.002663 -0.768352 0.043966 -0.998266 -0.040044 -0.767095 -0.059409 0.638767 1.000000
513	-0.063700 0.125400 0.013600 0.009441 0.229339 -0.973301 -0.791270 -0.593298 -0.147494 -0.611297 0.771554 0.175871 -0.010496
512	-0.063700 0.125400 0.013600 -0.791270 -0.593298 -0.147494 -0.009441 -0.229339 0.973301 -0.611297 0.771554 0.175871 -0.003995
511	-0.063700 0.125400 0.013600 0.009441 0.229339 -0.973301 -0.791270 -0.593298 -0.147494 -0.611297 0.771554 0.175871 1.000000
523	-0.033200 0.139700 0.017400 0.005469 0.235242 -0.971921 -0.957358 -0.279658 -0.073060 -0.288970 0.930804 0.223660 -0.012162
522	-0.033200 0.139700 0.017400 -0.957358 -0.279658 -0.073060 -0.005469 -0.235242 0.971921 -0.288970 0.930804 0.223660 -0.006143
521	-0.033200 0.139700 0.017400 0.005469 0.235242 -0.971921 -0.957358 -0.279658 -0.073060 -0.288970 0.930804 0.223660 1.000000
532	-0.033700 0.127400 0.048500 -0.051347 0.467066 -0.882748 -0.963127 -0.256894 -0.079949 -0.264108 0.846037 0.463016 -0.007035
533	-0.033700 0.127400 0.048500 -0.963127 -0.256894 -0.079949 0.051347 -0.467066 0.882748 -0.264108 0.846037 0.463016 -0.009692
531	-0.033700 0.127400 0.048500 -0.051347 0.467066 -0.882748 -0.963127 -0.256894 -0.079949 -0.264108 0.846037 0.463016 1.000000
542	-0.067200 0.108900 0.044300 -0.172166 0.378657 -0.909303 -0.704700 -0.692400 -0.154855 -0.688259 0.614146 0.386060 -0.005844
543	-0.067200 0.108900 0.044300 -0.704700 -0.692400 -0.154855 0.172166 -0.378657 0.909303 -0.688259 0.614146 0.386060 -0.006113
541	-0.067200 0.108900 0.044300 -0.172166 0.378657 -0.909303 -0.704700 -0.692400 -0.154855 -0.688259 0.614146 0.386060 1.000000
613	-0.035800 0.104800 0.075000 -0.008002 0.767704 -0.640754 -0.956770 -0.192120 -0.218276 -0.290663 0.611281 0.736023 -0.005832
612	-0.035800 0.104800 0.075000 -0.956770 -0.192120 -0.218276 0.008002 -0.767704 0.640754 -0.290663 0.611281 0.736023 -0.006918
611	-0.035800 0.104800 0.075000 -0.008002 0.767704 -0.640754 -0.956770 -0.192120 -0.218276 -0.290663 0.611281 0.736023 1.000000
622	0.000100 0.077500 0.096700 0.000200 0.917534 -0.397784 -1.000000 0.000400 0.000200 0.000336 0.397841 0.917441 -0.006407
623	0.000100 0.077500 0.096700 -1.000000 0.000400 0.000200 -0.000200 -0.917534 0.397784 0.000336 0.397841 0.917441 -0.005496
621	0.000100 0.077500 0.096700 0.000200 0.917534 -0.397784 -1.000000 0.000400 0.000200 0.000336 0.397841 0.917441 1.000000
633	-0.018400 0.044000 0.106300 0.006547 0.983861 -0.178812 -0.990825 -0.017609 -0.133695 -0.134684 0.178049 0.974735 -0.005046
632	-0.018400 0.044000 0.106300 -0.990825 -0.017609 -0.133695 -0.006547 -0.983861 0.178812 -0.134684 0.178049 0.974735 -0.016800
631	-0.018400 0.044000 0.106300 0.006547 0.983861 -0.178812 -0.990825 -0.017609 -0.133695 -0.134684 0.178049 0.974735 1.000000
642	-0.036800 0.075300 0.092200 -0.027847 0.900137 -0.434680 -0.952124 -0.156298 -0.262738 -0.304433 0.406544 0.861371 -0.005873
643	-0.036800 0.075300 0.092200 -0.952124 -0.156298 -0.262738 0.027847 -0.900137 0.434680 -0.304433 0.406544 0.861371 -0.013386
641	-0.036800 0.075300 0.092200 -0.027847 0.900137 -0.434680 -0.952124 -0.156298 -0.262738 -0.304433 0.406544 0.861371 1.000000
713	-0.018500 0.010500 0.109600 -0.987584 -0.011802 -0.156649 0.013343 -0.999837 -0.009023 -0.156521 -0.011001 0.987599 -0.015467
712	-0.018500 0.010500 0.109600 0.013343 -0.999837 -0.009023 0.987584 0.011802 0.156649 -0.156521 -0.011001 0.987599 -0.003688
711	-0.018500 0.010500 0.109600 -0.987584 -0.011802 -0.156649 0.013343 -0.999837 -0.009023 -0.156521 -0.011001 0.987599 1.000000
723	0.018600 0.010500 0.109600 0.989767 -0.006946 -0.142523 0.002162 0.999417 -0.033611 0.142674 0.032958 0.989215 0.000165
722	0.018600 0.010500 0.109600 0.002162 0.999417 -0.033611 -0.989767 0.006946 0.142523 0.142674 0.032958 0.989215 -0.005754
721	0.018600 0.010500 0.109600 0.989767 -0.006946 -0.142523 0.002162 0.999417 -0.033611 0.142674 0.032958 0.989215 1.000000
733	0.018600 -0.023300 0.105900 -0.036483 -0.970494 -0.238351 0.988962 -0.000736 -0.148444 0.143878 -0.241116 0.959725 -0.004811
732	0.018600 -0.023300 0.105900 0.988962 -0.000736 -0.148444 0.036483 0.970494 0.238351 0.143878 -0.241116 0.959725 -0.002304
